naziv;¹ifra;marka;neto kolièina;jedinica mjere;MPC;cijena za jedinicu mjere;MPC za vrijeme posebnog oblika prodaje;Najni¾a cijena u posljednjih 30 dana;datum sidrene cijene;sidrena cijena na 2.5.2025.;barkod;kategorija proizvoda
VINO MAG.MALVAZI.BENÈIÆ 0,75 L;378247;;0.7500;L;9.02;12.03;;;02.05.2025;9.02;3859888105010;Piæa
VINO MALVAZIJA BENÈIÆ 0,75 L;378248;;0.7500;L;7.02;9.36;;;02.05.2025;6.92;3859888105386;Piæa
VINO POL.MU©KAT BENÈIÆ 0,75 L;378249;;0.7500;L;9.49;12.65;;;02.05.2025;9.49;3859889514019;Piæa
VINO TERAN BENÈIÆ 0,75 L;378250;;0.7500;L;8.02;10.69;;;02.05.2025;8.02;3859888105218;Piæa
UMAK KUHNE SWEET CHILLI 250 ml;378251;Kühne;0.2500;l;3.29;13.16;;;02.05.2025;3.29;40122724;Hrana
SERUM ELSEVE NIGH.100 ml;378259;Elseve;0.1000;l;9.99;99.90;;;02.05.2025;9.99;3600524135775;Kozmetika
DJEÈJI ©AMPON HISKIN 300 ml ;378260;;0.3000;L;8.89;29.63;;;02.05.2025;8.89;5905359804901;Kozmetika
DJ.REGENERATOR HISKIN 250 ml ;378261;;0.2500;L;9.49;37.96;;;02.05.2025;9.49;5905359804895;Kozmetika
DJ.SPREJ HISKIN 150 ml ;378262;;0.1500;L;8.89;59.27;;;02.05.2025;8.89;5905359804888;Kozmetika
TEQUILA DON JULIO BLAN. 0,7 L;378263;;0.7000;L;62.39;89.13;;;02.05.2025;62.39;7506064300160;Piæa
