Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
KVASAC SUHI B.G.20 G DR.SCHAR;878308;DR SCHAER;0,020 KG;KOM;;63,00;1,26;1,68;1,68;8008698005828;HRANA;
KRUH MULTIGRANO B.G.250 G DR.SCHAR;878309;DR SCHAER;0,250 KG;KOM;2,89;11,56;;;2,89;8008698024140;HRANA;
MUFFIN COKO.B.G.65 G DR.SCHAR;878310;DR SCHAER;0,065 KG;KOM;;20,15;1,31;1,75;1,75;8008698015988;HRANA;
LEDENA KAVA 230 ML MARESI;878312;MARESI;0,230 L;KOM;;5,17;1,19;1,39;1,39;90027833;HRANA;
CAPPUCCINO 230ML MARESI;878315;MARESI;0,230 L;KOM;;5,17;1,19;1,39;1,39;90027277;HRANA;
LED.KAVA VANILIJA 230 ML MARESI;878320;MARESI;0,230 L;KOM;1,39;6,04;;;1,39;90027819;HRANA;
CLEANIC BLAZINICE 40 KOM VIRGIN COTTON;878322;CLEANIC NATURALS LINE;40 KOM;KOM;1,06;0,03;;;1,06;5900095028024;DROGERIJA;
CLEANIC BLAZINICE 100 KOM VIRGIN COTTON;878327;CLEANIC NATURALS LINE;100 KOM;KOM;,99;0,01;;;,99;5900095028000;DROGERIJA;
MLIJEKO ZA KAVU 250G MARESI;878328;MARESI;0,250 L;KOM;1,52;6,08;;;1,52;90026027;HRANA;
VIGO UNIVER.KRPA ZA KUCANSTVO 40 KOM;878336;VIGO;;KOM;2,52;;;;2,52;5902841472389;PROIZVODI ZA KUCANSTVO;
RIZINA KASA S COKOLADOM 60 G BIO;878483;DOBRA ZOBENA KASA;0,060 KG;KOM;1,15;19,17;;;1,15;8595054905767;HRANA;
RIZINA KASA S VANILIJOM 60 G BIO;878484;DOBRA ZOBENA KASA;0,060 KG;KOM;1,15;19,17;;;1,15;8595054905743;HRANA;
MED CVJETNI 700 G FLOREA;878618;FLOREA;0,700 KG;KOM;4,64;6,63;;;4,64;3856022693761;HRANA;
MED BAGREM 700 G FLOREA;878621;FLOREA;0,700 KG;KOM;6,63;9,47;;;6,63;3856022693778;HRANA;
MED CVJETNI 450 G FLOREA;878622;FLOREA;0,450 KG;KOM;3,98;8,84;;;3,98;3856022693822;HRANA;
MED BAGREM 450 G FLOREA;878623;FLOREA;0,450 KG;KOM;5,04;11,20;;;5,04;3856022693846;HRANA;
MASLINOVO ULJE EXTRA DJEVICANSKO BARCOT  0,75 L;878637;FABIAN MASLINOVA ULJA OSTALO;0,750 L;KOM;21,85;29,13;;;22,99;3857500080035;HRANA;
KVASAC SUHI DI-GO 125 G;878638;DUKAT-DI-GO KVASAC;0,125 KG;KOM;2,15;17,20;;;2,15;3859889940849;HRANA;
BRESKVICE 120 G PEKARNA JURE;878639;;0,120 KG;KOM;1,46;12,17;;;1,86;3830056441789;HRANA;
SIR RIBANAC 3X40 G PRESIDENT DUKAT;878652;DUKAT-PRESIDENT;0,120 KG;KOM;4,99;41,58;;;4,99;3850355006618;HRANA;
VODILICA ZA PSE FLEXI FUN M VITAKRAFT;878654;HOBBY VITAKRAFT;0,195 KG;KOM;21,9;112,31;;;21,9;4000498027790;HRANA;
VODILICA ZA PSE FLEXI FUN S VITAKRAFT;878655;HOBBY VITAKRAFT;0,132 KG;KOM;18,98;143,79;;;18,98;4000498027691;HRANA;
MAJONEZA DELIKATESA 255 G TUBA ZVIJEZDA;878771;ZVIJEZDA MAJONEZA;0,255 KG;KOM;3,19;12,51;;;3,19;3856015321244;HRANA;
WILKINSON BRIJAC 1 KOM EXTREME 3 SENSITIVE;878793;WILKINSON;1 KOM;KOM;1,86;1,86;;;1,86;4027800110414;DROGERIJA;
VIPLAST VRECA ZA OTPATKE S RUCKOM 65X76 CM 60 L  20/1;878813;VIPLAST;;KOM;1,59;;;;1,59;3859893217449;PROIZVODI ZA KUCANSTVO;
VESH MARAM. TO GO 5/1 ZA SKIDANJE MRLJA;878841;VESH;5 KOM;KOM;1,19;0,24;;;1,19;3870128023772;DROGERIJA;
SIR GRAN BIRAGHI RIBANI 3X50 G BIRAGHI;878888;BIRAGHI;0,150 KG;KOM;2,99;19,93;;;2,99;8002004213006;HRANA;
RAKIJA TRAVARICA 0,1 L VINOPLOD;878948;BADEL TRGOVACKA ROBA;0,100 L;KOM;1,75;17,50;;;1,75;3859890650119;PICE;
KNEDLE S VISNJAMA 400 G FROZY;879006;FROZY;0,400 KG;KOM;1,69;4,23;;;2,03;3858891044064;HRANA;
KNEDLE S SLJIVAMA 400 G FROZY;879007;FROZY;0,400 KG;KOM;1,69;4,23;;;2,03;3858891044057;HRANA;
OKRUGLICE OD KRUHA 400 G FROZY;879008;FROZY;0,400 KG;KOM;1,89;4,73;;;2,25;3858891044071;HRANA;
IGRACKA TUNEL ZA MACKE 50X24 CM EDCO;879020;EDCO KUCNI LJUBIMCI;1 KOM;KOM;3,45;3,45;;;3,45;8711252388281;HRANA;
KAVA MLJEVENA  2X500 G XXL ARABESCA;879021;ARABESCA;1 KG;KOM;13,99;13,99;;;13,99;3858886805557;HRANA;
IGRACKA FRIZBI ZA PSE 16 CM EDCO;879022;EDCO KUCNI LJUBIMCI;1 KOM;KOM;1,33;1,33;;;1,33;8711252159690;HRANA;
NAVLAKA ZA AUTO ZA LJUBIMCE EDCO;879023;EDCO KUCNI LJUBIMCI;1 KOM;KOM;10,62;10,62;;;10,62;871129232357;HRANA;
JOGURT PROTEIN SKYR JAGODA 200 G VINDIJA;879025;VINDIJA-Z'BREGOV PROTEIN;0,200 KG;KOM;1,29;6,45;;;1,29;3850108032406;HRANA;
JOGURT PROTEIN SKYR BURBON VANILIJA 200 G VINDIJA;879027;VINDIJA-Z'BREGOV PROTEIN;0,200 KG;KOM;1,29;6,45;;;1,29;3850108032635;HRANA;
DEKA ZA KUCNE LJUBIMCE 70X70 CM EDCO;879028;EDCO KUCNI LJUBIMCI;1 KOM;KOM;2,65;2,65;;;2,65;8711252171739;HRANA;
VEGETA VRECICA 400 G;879029;VEGETA;0,400 KG;KOM;3,39;8,48;;;3,39;3850104260872;HRANA;
COCKTA FREE 0,33 L LIM;879048;COCKTA;0,330 L;KOM;1,02;3,09;;;1,02;3838471039956;PICE;
VIOLETA VL.T. PAPIR 60 KOM  HEMO CARE;879128;VIOLETA;1 KOM;KOM;2,52;2,52;;;2,52;3870128020733;DROGERIJA;
VIOLETA DNEVNI ULOSCI 50 KOM  KANTARION;879142;VIOLETA;50 KOM;KOM;2,65;0,05;;;2,65;3870128007031;DROGERIJA;
PITROID MIRISNE TRAKE ZA ORMARE 4 KOM;879197;PITROID;4 KOM;KOM;3,7;0,93;;;3,7;3856007907784;DROGERIJA;
HIPP 2 MLIJEKO BIO 600 G;879272;HIPP;0,600 KG;KOM;11,85;19,75;;;11,85;4062300355422;HRANA;
HIPP 3 MLIJEKO BIO 600 G;879273;HIPP;0,600 KG;KOM;11,85;19,75;;;11,85;4062300355439;HRANA;
VIOLETA DNEVNI ULOSCI 50 KOM AIR FIT;879288;AIR FIT;50 KOM;KOM;2,65;0,05;;;2,65;3870128023680;DROGERIJA;
RUSTIKAL BAGUETTE VEGAN 160 G G MEGGLE;879289;MEGGLE;0,160 KG;KOM;1,59;9,94;;;1,59;4034900032331;HRANA;
VIOLETA ULOSCI DNEVNI LONG 50 KOM AIR FIT;879290;AIR FIT;50 KOM;KOM;2,65;0,05;;;2,65;3870128023741;DROGERIJA;
VIOLETA ULOSCI 10 KOM AIR FIT NORMAL;879293;AIR FIT;10 KOM;KOM;1,59;0,16;;;1,59;3870128023482;DROGERIJA;
VIOLETA ULOSCI 10 KOM  AIR NIGHT;879296;AIR FIT;10 KOM;KOM;1,86;0,19;;;1,86;3870128023628;DROGERIJA;
VIOLETA ULOSCI  NORMAL 20 KOM AIR FIT;879297;AIR FIT;20 KOM;KOM;2,65;0,13;;;2,65;3870128023512;DROGERIJA;
VIGO MARAMICE ZA UPIJANJE BOJE 20 KOM;879349;VIGO;20 KOM;KOM;1,99;0,10;;;1,99;5902841472372;DROGERIJA;
VIOLETA ULOSCI 20 KOM AIR FIT NIGHT;879366;AIR FIT;20 KOM;KOM;2,7;0,14;;;3,05;3870128023543;DROGERIJA;
COK.TOBLERONE VOCE/LJESNJAK 100 G;879380;TOBLERONE;0,100 KG;KOM;2,99;29,90;;;2,99;7622201137175;HRANA;
SLADOLED SPACE BANG 8 X 52 ML PLODINE  GELATINO;879396;GELATINO;0,416 L;KOM;3,99;9,59;;;3,99;3856022674975;HRANA;
BRASNO HELJDA 1 KG FARINA SPECIALE;879422;FARINA SPECIALE;1 KG;KOM;3,69;3,69;;;3,69;3858887101023;HRANA;
BOMBONI SKITTLES SMOOTHIE 38 G;879428;WRIGLEY;0,038 KG;KOM;,9;23,68;;;,9;4009900532327;HRANA;
PSENICNO BRASNO GLATKO TIP 550 10 KG XXL BELJE;879430;BELJE BRASNO;10 KG;KOM;7,19;0,72;;;7,19;3858887101146;HRANA;
BIG TOAST AMERICAN 750 G;879481;DON DON TOAST;0,750 KG;KOM;2,99;3,99;;;2,99;8606018738915;HRANA;
CIPS SLANI 200 G BITS   BYTES;879527;BITS BYTES;0,200 KG;KOM;1,59;7,95;;;1,59;3856022697813;HRANA;
CIPS PAPRIKA 200 G BITS   BYTES;879528;BITS BYTES;0,200 KG;KOM;1,59;7,95;;;1,59;3856022697837;HRANA;
CIPS BARBECUE REBRASTI 150 G BITS   BYTES;879529;BITS BYTES;0,150 KG;KOM;1,19;7,93;;;1,19;3856022697776;HRANA;
CIPS CHILI REBRASTI 150 G BITS   BYTES;879530;BITS BYTES;0,150 KG;KOM;1,19;7,93;;;1,19;3856022697790;HRANA;
CIPS SLANI XXL 280 G BITS   BYTES;879531;BITS BYTES;0,280 KG;KOM;1,99;7,11;;;1,99;3856022697851;HRANA;
CIPS PAPRIKA XXL 280 G BITS   BYTES;879532;BITS BYTES;0,280 KG;KOM;1,99;7,11;;;1,99;3856022697875;HRANA;
FLIPS KUKURUZNI SLANI 90 G BITS   BYTES;879533;BITS BYTES;0,090 KG;KOM;,45;5,00;;;,45;3856022697899;HRANA;
CHIA SJEMENKE XXL 500 G;879537;MARJAN VOCE;0,500 KG;KOM;4,99;9,98;;;4,99;3859893512353;HRANA;
KARAMELE TOFFEE 150 G BONELLE;879577;BONELLE;0,150 KG;KOM;1,69;11,27;;;1,69;8006150001166;HRANA;
SIR TOPLJENI CLASSIC 3X140 G ZDENKA;879619;ZDENKA;0,420 KG;KOM;4,19;9,98;;;4,19;3858888598006;HRANA;
KEKS OREO GOLDEN 154 G;879624;OREO;0,154 KG;KOM;2,19;14,22;;;2,19;7622210584519;HRANA;
KOZJI SIR POLUTVRDI 320 G ELIZABETA GLOTZ;879658;OPG GLOTZ;0,320 KG;KOM;6,89;21,53;;;6,89;0745125357317;HRANA;
LIGNJA OCISCENA  PATAGONICA 450 G PERLA;879668;PERLA;0,450 KG;KOM;9,99;22,20;;;9,99;3858892085240;HRANA;
VONGOLE 750 G PERLA;879669;PERLA;0,750 KG;KOM;4,99;6,65;;;4,99;3858892085301;HRANA;
SIPA KOCKICE 235 G + CRNILO 4 G PERLA;879674;PERLA;0,239 KG;KOM;8,39;35,10;;;8,39;3858892085271;HRANA;
KOLUTICI I KRAKOVI 350 G PERLA;879678;PERLA;0,350 KG;KOM;;11,40;3,99;5,99;5,99;3858892085783;HRANA;
SKAMPI ZA BUZARU 375 G PERLA;879679;PERLA;0,375 KG;KOM;9,99;26,64;;;9,99;3858892085462;HRANA;
SIRUP NARANCA 1 L DANA PET;879787;DANA;1 L;KOM;2,99;2,99;;;2,99;3830055522083;PICE;
SIRUP BAZGA 1 L DANA PET;879788;DANA;1 L;KOM;2,99;2,99;;;2,99;3830055526616;PICE;
SIRUP MALINA 1 L DANA PET;879789;DANA;1 L;KOM;2,99;2,99;;;2,99;3830055522069;PICE;
SIRUP SUMSKO VOCE 1 L DANA PET;879790;DANA;1 L;KOM;2,99;2,99;;;2,99;3830055526654;PICE;
SIRUP LEDENI CAJ 1 L DANA PET;879791;DANA;1 L;KOM;2,99;2,99;;;2,99;3830055526630;PICE;
SIRUP RIBIZ LIMUN 1 L DANA PET;879792;DANA;1 L;KOM;2,99;2,99;;;2,99;3830055526678;PICE;
 HRANA ZA PSE 1240 G EURODOG GOVEDINA;879818;EURODOG;1,24 KG;KOM;;0,96;1,19;1,52;1,52;5999886848002;HRANA;
HRANA  ZA PSE 1240 G  EURODOG DIVLJAC;879819;EURODOG;1,24 KG;KOM;;0,96;1,19;1,52;1,52;5999886848026;HRANA;
HRANA ZA PSE 10 KG EURODOG PILETINA;879824;EURODOG;10 KG;KOM;11,89;1,19;;;11,89;5999884350873;HRANA;
HRANA ZA  PSE 10 KG EURODOG GOVEDINA;879825;EURODOG;10 KG;KOM;11,89;1,19;;;11,89;5999884350880;HRANA;
VIOLETA ULOSCI 20 KOM AIR FIT;879855;AIR FIT;20 KOM;KOM;2,65;0,13;;;2,65;3870128023451;DROGERIJA;
KAVA AROMA E GUSTO INTENSO KAP.52 G 10/1 NES;879894;CARRARO;0,052 KG;KOM;2,59;49,81;;;2,59;8000604001283;HRANA;
KAVA CREMA ESPRESSO KAPS 52 G 10/1 NES;879895;CARRARO;0,052 KG;KOM;2,59;49,81;;;2,59;8000604900678;HRANA;
CAJ UVIN H 60 G NATURAVITA;879939;CEDEVITA CAJEVI - NATURAVITA;0,060 KG;KOM;1,99;33,17;;;1,99;3858884092034;HRANA;
CAJ KAMILICA 35 G NATURAVITA;879941;CEDEVITA CAJEVI - NATURAVITA;0,035 KG;KOM;1,69;48,29;;;1,69;3858884092041;HRANA;
CAJ SLJEZOV 45 G NATURAVITA;879943;CEDEVITA CAJEVI - NATURAVITA;0,045 KG;KOM;1,69;37,56;;;1,69;3858884092065;HRANA;
CAJ KADULJA 45 G NATURAVITA;879945;CEDEVITA CAJEVI - NATURAVITA;0,045 KG;KOM;1,29;28,67;;;1,69;3858884092072;HRANA;
CAJ ENGLISH BREAKFAST 40 G FRANCK;879961;FRANCK CAJ;0,040 KG;KOM;2,49;62,25;;;2,49;3850291050355;HRANA;
COCA COLA ZERO 12 X 0,15 L;879964;COCA COLA;1,8 L;KOM;6,49;3,61;;;6,49;5449000138156;PICE;
COCA COLA 12 X 0,15 L;879965;COCA COLA;1,8 L;KOM;6,49;3,61;;;6,49;5449000034229;PICE;
SOK CAPPY HAPPY LEMON 1,25 L;879974;CAPPY;1,25 L;KOM;1,88;1,50;;;1,88;5000112653779;PICE;
SCHWEPPES TONIC SLIMLINE 1 L;879976;SCHWEPPES;1 L;KOM;1,78;1,78;;;1,78;5449000064219;PICE;
SCHWEPPES PINK GRAPEFRUIT 1 L;879978;SCHWEPPES;1 L;KOM;1,78;1,78;;;1,78;5449000245236;PICE;
SCHWEPPES PINK GRAPEFRUIT 0,5 L;879979;SCHWEPPES;0,500 L;KOM;1,33;2,66;;;1,33;5449000089496;PICE;
FUZETEA RUZA BEZ SECERA 1,5 L;879982;FUZETEA;1,5 L;KOM;1,72;1,15;;;1,72;5449000270146;PICE;
FUZETEA RUZA BEZ SECERA 0,5 L;879983;FUZETEA;0,500 L;KOM;1,22;2,44;;;1,22;5449000270139;PICE;
SOK CAPPY MENTA LIMUN 1,25 L;879984;CAPPY;1,25 L;KOM;1,88;1,50;;;1,88;5000112653793;PICE;
SOK CAPPY MENTA LIMUN 0,4 L;879985;CAPPY;0,400 L;KOM;1,18;2,95;;;1,18;5449000275677;PICE;
SARENE OBLATNE 200 G;880120;;0,200 KG;KOM;2,9;14,50;;;2,9;3859892892654;HRANA;
LENOR 770 ML SENSITIVE;880132;LENOR;0,770 L;KOM;3,99;5,18;;;7,99;8001090908339;DROGERIJA;
SOK HAPPY DAY NARANCA 100% 0,33 L LIM;880135;RAUCH;0,330 L;KOM;1,49;4,52;;;1,49;9008700231657;PICE;
SOK HAPPY DAY JABUKA 100% 0,33 L LIM;880137;RAUCH;0,330 L;KOM;1,49;4,52;;;1,49;9008700231633;PICE;
MARGO NOVA 225 G ZVIJEZDA;880143;MARGO NAMAZ;0,225 KG;KOM;1,19;5,29;;;1,19;3856015327284;HRANA;
MARGO NOVA 400 G ZVIJEZDA;880144;MARGO NAMAZ;0,400 KG;KOM;;3,73;1,49;1,49;1,99;3856015327253;HRANA;
MARGO S MASLACEM 225 G ZVIJEZDA;880145;MARGO NAMAZ;0,225 KG;KOM;1,79;7,96;;;1,79;3856015325419;HRANA;
LIKER MEDICA 0,7 L BADEL;880148;LIKERI BADEL;0,070 L;KOM;11,02;157,43;;;11,02;3850112111388;PICE;
LIKER ORAHOVAC 0,7 L BADEL;880149;LIKERI BADEL;0,070 L;KOM;11,52;164,57;;;11,52;3850112111401;PICE;
SLJEMENSKI KRUH PAK.500 G MLINAR;880151;MLINAR PEKARSTVO;0,500 KG;KOM;1,99;3,98;;;1,99;3858889899935;HRANA;
ESENS SUN MLIJEKO F30 250ML;880156;ESENS;0,250 L;KOM;6,99;27,96;;;6,99;3856025852264;DROGERIJA;
ESENS SUN MLIJEKO F50 250ML;880157;ESENS;0,250 L;KOM;7,59;30,36;;;7,59;3856025852226;DROGERIJA;
ESENS SUN KIDS F50 250ML MLIJEKO;880158;ESENS;0,250 L;KOM;7,59;30,36;;;7,59;3856025852240;DROGERIJA;
ESENS SUN SPREJ F20 200ML;880159;ESENS;0,200 L;KOM;4,99;24,95;;;4,99;3856025852202;DROGERIJA;
ESENS SUN SPREJ F50 200ML;880161;ESENS;0,200 L;KOM;7,99;39,95;;;7,99;3856025852141;DROGERIJA;
ESENS SUN KREMA ZA LICE F30 100ML;880163;ESENS;0,100 L;KOM;4,29;42,90;;;4,29;3856025852301;DROGERIJA;
ESENS SUN ULJE SPREJ F6 150ML;880165;ESENS;0,150 L;KOM;4,29;28,60;;;4,29;3856025852288;DROGERIJA;
ESENS SUN KREMA POSLIJE SUNCANJA 500ML;880168;ESENS;0,500 L;KOM;4,29;8,58;;;4,29;3856025852325;DROGERIJA;
BRASNO BEZ GLUTENA 1 KG NUTRIFREE;880241;NUTRIFREE;1 KG;KOM;5,99;5,99;;;5,99;8008696021189;HRANA;
KEKS NAPOLITANKE BEZ SECERA 60 G GULLON;880246;GULLON;0,060 KG;KOM;,77;12,83;;;1,19;8410376058826;HRANA;
GIN TONIC PINK 4,5% 0,33 L LIM DANA;880326;DANA;0,330 L;KOM;1,59;4,82;;;1,62;3830055525503;PICE;
GIN TONIC CLASSIC 4,5% 0,33 L LIM;880327;DANA;0,330 L;KOM;1,69;5,12;;;1,72;3830055525527;PICE;
COCKTAIL BLUE LAGOON 4,5% 0,33 L LIM;880328;DANA;0,330 L;KOM;1,72;5,21;;;1,72;3830055525640;PICE;
COCKTAIL MOJITO 0,0% 0,33 L;880332;DANA;0,330 L;KOM;1,42;4,30;;;1,42;3830055525701;PICE;
COCKTAIL MOJITO 4,5% 0,33 L LIM;880333;DANA;0,330 L;KOM;1,59;4,82;;;1,62;3830055525688;PICE;
VODA NEGAZIRANA SANT'ANNA 0,5 L;880337;SANT'ANNA;0,500 L;KOM;,37;0,74;;;,37;8020141218005;PICE;
TUNA KOMADICI 185 G U BILJNOM ULJU DEL MARE;880456;DEL MARE;0,130 KG;KOM;1,39;10,69;;;1,79;3856025852080;HRANA;
VODA NEGAZIRANA 1,5 L PLODINE;880466;VODA RM;1,5 L;KOM;,52;0,35;;;,52;3856025853285;PICE;
SOFTY OMEK. 1.850 L LOTUS;880467;SOFTY;1,85 L;KOM;2,98;1,61;;;2,98;3856025848625;DROGERIJA;
SOFTY OMEK. 1.850 L BLUE SPRING;880468;SOFTY;1,85 L;KOM;2,98;1,61;;;2,98;3856025848588;DROGERIJA;
SOFTY OMEK. 925 ML LOTUS;880469;SOFTY;0,925 L;KOM;1,99;2,15;;;1,99;3856025848601;DROGERIJA;
SOFTY OMEK. 925 ML BLUE SPRING;880470;SOFTY;0,925 L;KOM;1,99;2,15;;;1,99;3856025848564;DROGERIJA;
PRIMORSKI KRUH PAK.500 G;880471;MLINAR PEKARSTVO;0,500 KG;KOM;1,99;3,98;;;1,99;3858889899973;HRANA;
MILK SNITA 700 G;880475;;0,700 KG;KOM;3,98;5,69;;;3,98;3830056444537;HRANA;
COKO SNITA 500 G;880477;;0,500 KG;KOM;4,64;9,28;;;4,64;3830056444513;HRANA;
WC ZA MACKE PRATIC 48X38X32;880478;PLANA PETMAX;1 KOM;KOM;13,99;13,99;;;13,99;3838851385314;HRANA;
CEDEVITA ANANAS MANGO 200 G;880523;CEDEVITA INSTANT;0,200 KG;KOM;2,09;10,45;;;2,09;3850322016244;HRANA;
MLIJECNI DESERT LINA 150 G DOLINE;880601;DOLINE;0,150 KG;KOM;,89;5,93;;;,89;3856025848847;HRANA;
BADEM BLANSIRANI 200 G SEEBERGER;880602;SEEBERGER;0,200 KG;KOM;5,49;27,45;;;5,49;4008258073049;HRANA;
BADEM 200 G SEEBERGER;880603;SEEBERGER;0,200 KG;KOM;4,19;20,95;;;4,19;4008258065013;HRANA;
DIPTEROL NATURAL 2U1 LOSION 125 ML;880649;PITROID;0,125 L;KOM;8,9;71,20;;;8,9;3856007910937;DROGERIJA;
VIOLETA DETERDZENT LDD 1,8 L COLOR;880654;VIOLETA;1,8 L;KOM;;2,22;3,99;6,9;6,9;3870128035362;DROGERIJA;
VEGGIE NUGGETS BROKULA I SLANUTAK 400 G O'PLANT PODRAVKA;880695;PODRAVKA VEGE;0,400 KG;KOM;3,79;9,48;;;3,79;3856020261269;HRANA;
VEGGIE NUGGETS CVJETACA I CURRY 400 G O'PLANT PODRAVKA;880696;PODRAVKA VEGE;0,400 KG;KOM;3,79;9,48;;;3,79;3856020261238;HRANA;
VEGGIE NUGGETS HELJDA SJEMENKE 400 G O'PLANT PODRAVKA;880697;PODRAVKA VEGE;0,400 KG;KOM;3,79;9,48;;;3,79;3856020261207;HRANA;
DASH 3.9 KG 78 PR. REGULAR;880709;DASH;3,9 KG;KOM;18,49;4,74;;;34,99;8006540920763;DROGERIJA;
DASH 3.75 L 75 PR.REGULAR 3X25 PR.;880710;DASH;3,75 L;KOM;18,49;4,93;;;28,99;8006540927540;DROGERIJA;
DASH 3.75 L 75PR. COLOR 3X25 PR.;880711;DASH;3,75 L;KOM;18,49;4,93;;;28,99;8006540927410;DROGERIJA;
ARIEL 4.4 KG 80 PR.REGULAR;880712;ARIEL;4,4 KG;KOM;21,99;5,00;;;21,49;8006540940150;DROGERIJA;
ARIEL 4.4 KG 80 PR. COLOR;880713;ARIEL;4,4 KG;KOM;21,99;5,00;;;21,49;8006540940693;DROGERIJA;
ARIEL 3.85 KG 70 PR. OXI;880714;ARIEL;3,85 KG;KOM;21,99;5,71;;;21,49;8006540940594;DROGERIJA;
ARIEL 4.5 L 90 PR. COLOR;880715;ARIEL;4,5 L;KOM;21,99;4,89;;;35,99;8006540869376;DROGERIJA;
BOROTALCO 150 ML MEN AMBER SPRAY;880721;BOROTALCO;0,150 L;KOM;;13,27;1,99;1,99;3,99;8002410044539;DROGERIJA;
BOROTALCO 150 ML MEN UNIQUE SPRAY;880722;BOROTALCO;0,150 L;KOM;;13,27;1,99;1,99;3,99;8002410044546;DROGERIJA;
BOROTALCO 150 ML MEN INVISIBLE MUSK;880723;BOROTALCO;0,150 L;KOM;;13,27;1,99;1,99;3,99;8002410045154;DROGERIJA;
ESENS GEL 300 ML MEN SENSITIVE;880733;ESENS;0,300 L;KOM;1,19;3,97;;;1,19;3856025853223;DROGERIJA;
ESENS GEL 300 ML MEN FRESH;880734;ESENS;0,300 L;KOM;1,19;3,97;;;1,19;3856025853209;DROGERIJA;
ESENS GEL 300 ML BADEM   SHEA BUTTER;880735;ESENS;0,300 L;KOM;1,19;3,97;;;1,19;3856025853162;DROGERIJA;
ESENS GEL 300 ML AROMA THERAPY;880736;ESENS;0,300 L;KOM;1,19;3,97;;;1,19;3856025853186;DROGERIJA;
ESENS GEL 300 ML COCO   VANILLA;880737;ESENS;0,300 L;KOM;1,19;3,97;;;1,19;3856025853124;DROGERIJA;
ESENS GEL 300 ML ORHIDEJA   KASMIR;880738;ESENS;0,300 L;KOM;1,19;3,97;;;1,19;3856025853148;DROGERIJA;
VAFEL PRUTICI KAKAO 250 G BISCOLETTI;880740;BISCOLETTI;0,250 KG;KOM;1,99;7,96;;;1,99;3856025852042;HRANA;
VAFEL PRUTIC LJESNJAK 250 G BISCOLETTI;880741;BISCOLETTI;0,250 KG;KOM;1,99;7,96;;;1,99;3856025852004;HRANA;
SOFTY PAPIRNATI RUCNICI 1 KOM 135 LISTICA 3 SLOJA;880821;SOFTY;1 KOM;KOM;1,99;1,99;;;1,99;3856025843224;DROGERIJA;
BOROTALCO 50 ML MEN ROLL AMBER;880893;BOROTALCO;0,050 L;KOM;;39,80;1,99;1,99;3,99;80886754;DROGERIJA;
BOROTALCO 50 ML MEN ROLL INVSIBLE MUSK;880894;BOROTALCO;0,050 L;KOM;;39,80;1,99;1,99;3,99;80924531;DROGERIJA;
BOROTALCO 50 ML MEN ROLL UNIQUE;880895;BOROTALCO;0,050 L;KOM;;39,80;1,99;1,99;3,99;80972990;DROGERIJA;
SIR SA CHILLIJEM 125 G SIRANA GLIGORA;880922;SIRANA GLIGORA;0,125 KG;KOM;3,99;31,92;;;3,99;3858891770222;HRANA;
VINO VINKO BIJELO 3 L PET;880956;HERCEGOVINA VINA;3 L;KOM;4,49;1,50;;;4,49;3870025000241;PICE;
VINO VINKO CRNO 3 L PET;880957;HERCEGOVINA VINA;3 L;KOM;4,49;1,50;;;4,49;3870025000258;PICE;
PUDING TRES CHIC DUPLA COKOLADA 200 G VINDIJA;880965;VINDIJA-FINO MI JE;0,200 KG;KOM;1,25;6,25;;;1,25;3850108023916;HRANA;
PUDING TRES CHIC PRALINE 200 G VINDIJA;880966;VINDIJA-FINO MI JE;0,200 KG;KOM;1,25;6,25;;;1,25;3850108023923;HRANA;
VIOL.UL.COTTON DAY NIGHT 18 KOM;881021;VIOLETA;18 KOM;KOM;2,5;0,14;;;2,5;3870128037427;DROGERIJA;
COCKTAIL SEX ON THE BEACH 4,5% 0,33 L LIM;881027;DANA;0,330 L;KOM;1,62;4,91;;;1,62;3830055525664;PICE;
AJAX FDF 1L DUAL FRAGRANCE WATER LILY;881042;AJAX;1 L;KOM;3,69;3,69;;;3,69;8718951622777;DROGERIJA;
FA PJENA ZA KUPANJE 750ML YOGHURT VANILLA HONEY;881047;FA;0,750 L;KOM;3,99;5,32;;;5,99;9000101263916;DROGERIJA;
FA PJENA ZA KUPANJE 750ML C O CACAO BUTTER   COCO OIL;881049;FA;0,750 L;KOM;3,99;5,32;;;5,99;5201143728980;DROGERIJA;
FA PJENA ZA KUPANJE 750ML MYSTIC MOMENTS;881050;FA;0,750 L;KOM;3,99;5,32;;;5,99;5201143729024;DROGERIJA;
FA GEL ZA TUSIRANJE 400 ML MYSTIC MOMENTS;881053;FA;0,400 L;KOM;3,99;9,98;;;3,99;9000101704457;DROGERIJA;
FA KIDS SG 400 ML MERMAID ZA DJEVOJCICE;881055;FA;0,400 L;KOM;2,49;6,23;;;3,99;9000101686180;DROGERIJA;
FA KIDS SG 400 ML PIRAT ZA DJECAKE;881056;FA;0,400 L;KOM;2,49;6,23;;;3,99;9000101686265;DROGERIJA;
CIPS PAPRIKA REBRASTI 130 G LAYS;881065;LAY'S CIPS;0,130 KG;KOM;2,19;16,85;;;2,19;8606017378617;HRANA;
